sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
SETUP_STOP,ALL,M1,CCI,365,-103.565093,-150.622644,-213.917231,23.731366,-466.666667,466.666667
SETUP_STOP,ALL,M1,DI_PLUS,365,15.256480,12.412294,8.118402,20.259301,0.894981,54.038483
SETUP_STOP,ALL,M1,DI_MINUS,365,28.903938,31.684673,18.085551,37.082697,4.025350,58.632991
SETUP_STOP,ALL,M1,DI_GAP,365,21.355385,22.038063,11.396426,29.973271,0.179042,57.285740
SETUP_STOP,ALL,M1,ATR,365,1.853631,0.945000,0.442500,2.097500,0.077000,19.901500
SETUP_STOP,ALL,M1,ATR_PCT_PRICE,365,0.063677,0.045107,0.026328,0.080844,0.005816,0.416671
SETUP_STOP,ALL,M1,EMA200_DIST_POINTS,365,963.879824,452.379805,185.165137,1097.378503,3.367892,12329.541680
SETUP_STOP,ALL,M1,EMA200_DIST_ATR,365,-3.551265,-4.562549,-6.802804,-1.050537,-18.004947,12.725981
SETUP_STOP,ALL,M5,RSI,365,37.395373,33.515944,25.325025,47.130509,7.880969,88.218530
SETUP_STOP,ALL,M5,ADX,365,35.461059,33.506968,25.838782,43.088721,10.757575,77.573579
SETUP_STOP,ALL,M5,CCI,365,-115.265205,-144.388090,-201.097712,-80.203389,-438.706121,466.666667
SETUP_STOP,ALL,M5,DI_PLUS,365,13.035739,10.371892,7.557346,15.584583,1.210981,47.996007
SETUP_STOP,ALL,M5,DI_MINUS,365,27.173121,28.073244,20.672265,33.735156,3.288107,53.992585
SETUP_STOP,ALL,M5,DI_GAP,365,19.863794,19.718647,12.662335,26.710816,0.045010,49.147503
SETUP_STOP,ALL,M5,ATR,365,3.589060,1.816750,0.891750,4.099000,0.137750,30.328250
SETUP_STOP,ALL,M5,ATR_PCT_PRICE,365,0.121305,0.089966,0.053355,0.149347,0.012022,0.733809
SETUP_STOP,ALL,M5,EMA200_DIST_POINTS,365,1527.723217,688.812486,284.046685,1588.304605,0.150749,24035.769164
SETUP_STOP,ALL,M5,EMA200_DIST_ATR,365,-2.015486,-2.955875,-5.038882,0.408049,-16.976156,23.130177
SETUP_STOP,ALL,M15,RSI,365,39.844481,36.897153,27.769191,49.836118,7.383082,91.499408
SETUP_STOP,ALL,M15,ADX,365,32.502482,30.517210,23.242153,39.111624,12.993218,75.727303
SETUP_STOP,ALL,M15,CCI,365,-98.507946,-134.240747,-194.684039,-13.536323,-444.832311,460.089673
SETUP_STOP,ALL,M15,DI_PLUS,365,14.093334,11.854357,8.331590,18.307094,1.792282,43.832227
SETUP_STOP,ALL,M15,DI_MINUS,365,25.181097,25.924517,19.586006,32.143587,1.436306,46.035746
SETUP_STOP,ALL,M15,DI_GAP,365,17.066722,16.961221,8.841672,23.545827,0.011596,40.437981
SETUP_STOP,ALL,M15,ATR,365,5.453650,2.715000,1.346500,6.275750,0.410000,46.938000
SETUP_STOP,ALL,M15,ATR_PCT_PRICE,365,0.183431,0.131564,0.086958,0.234921,0.025814,1.036911
SETUP_STOP,ALL,M15,EMA200_DIST_POINTS,365,2237.896735,877.444323,411.235821,2043.474504,3.074140,37114.917457
SETUP_STOP,ALL,M15,EMA200_DIST_ATR,365,-1.140699,-1.714601,-4.378240,1.530386,-14.379117,22.714642
SETUP_STOP,ALL,M30,RSI,365,42.083525,40.782843,31.351252,50.850810,7.388724,86.370149
SETUP_STOP,ALL,M30,ADX,365,31.887021,29.202411,22.468529,38.362912,11.828949,75.143723
SETUP_STOP,ALL,M30,CCI,365,-87.493417,-120.671188,-178.098434,5.107174,-416.419011,405.107159
SETUP_STOP,ALL,M30,DI_PLUS,365,14.190453,12.921241,8.249134,18.438294,1.231115,44.898264
SETUP_STOP,ALL,M30,DI_MINUS,365,24.061592,24.599942,18.266308,30.804059,3.966517,43.033429
SETUP_STOP,ALL,M30,DI_GAP,365,15.521909,14.780580,7.576637,22.145431,0.051849,40.472092
SETUP_STOP,ALL,M30,ATR,365,7.235638,3.655000,1.847000,7.958250,0.705000,80.369250
SETUP_STOP,ALL,M30,ATR_PCT_PRICE,365,0.242759,0.176351,0.119899,0.297571,0.046815,1.735756
SETUP_STOP,ALL,M30,EMA200_DIST_POINTS,365,2990.596587,1250.810459,501.942608,2669.403908,6.193672,44750.927222
SETUP_STOP,ALL,M30,EMA200_DIST_ATR,365,-0.735402,-0.951216,-4.797556,2.645922,-19.280914,24.473387
SETUP_STOP,ALL,H1,RSI,365,43.919301,43.885835,34.496864,51.706077,8.332642,78.643192
SETUP_STOP,ALL,H1,ADX,365,30.284376,28.336216,21.650476,36.131479,9.981282,77.345545
SETUP_STOP,ALL,H1,CCI,365,-75.442861,-92.784532,-169.005249,17.694222,-389.263141,294.023134
SETUP_STOP,ALL,H1,DI_PLUS,365,14.899236,13.163045,10.045054,18.161854,2.256454,44.671722
SETUP_STOP,ALL,H1,DI_MINUS,365,22.607643,23.076749,15.792693,28.515108,4.789705,44.602461
SETUP_STOP,ALL,H1,DI_GAP,365,13.801767,12.978374,5.918927,19.824054,0.002920,41.716917
SETUP_STOP,ALL,H1,ATR,365,9.889510,4.921000,2.652500,10.661750,0.847750,149.765000
SETUP_STOP,ALL,H1,ATR_PCT_PRICE,365,0.329009,0.254174,0.177396,0.374179,0.068104,3.234515
